client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed,category
joshuaoneill@example.net,6638686049,Bug Report,Tab focus jumps incorrectly.,Closed,2025-02-26,2025-02-27,Bug Report
edward91@example.net,6369365581,Bug Report,Form validation not working properly.,Closed,2025-07-22,2025-08-01,Bug Report
cookmason@example.org,2686615523,Account Suspension,Need help lifting restrictions.,Closed,2025-06-18,2025-06-19,General
wtaylor@example.com,4753393384,Data Export,Need monthly data dump in CSV.,Closed,2025-02-25,2025-03-07,Data Export
rmoore@example.net,8523755943,UI Feedback,Icons not intuitive.,Closed,2025-06-19,2025-06-20,UI Feedback
carrollamanda@example.net,5114031913,Technical Support,Graphs not rendering properly.,Closed,2025-05-12,2025-05-26,Technical Support
chavezlouis@example.com,5120344433,Account Suspension,How do I appeal a suspension?,Closed,2025-04-05,2025-04-12,General
monica93@example.net,9214400119,Billing Problem,Promo code was not applied.,Closed,2025-06-10,2025-06-12,Bug Report
stephaniejackson@example.net,3033595411,Payment Failure,EMI option not available anymore.,Closed,2025-07-23,2025-07-24,Billing Problem
gregory24@example.com,4191042037,Feature Request,Suggesting calendar integration.,Closed,2025-06-18,2025-06-20,Feature Request
virginia01@example.org,9734118945,Subscription Cancellation,Cancel option not visible in settings.,Closed,2025-06-15,2025-06-16,Subscription Cancellation
eneal@example.org,3879415680,Data Export,Exported PDF looks blank.,Closed,2025-05-19,2025-05-21,Data Export
colecynthia@example.net,5617939417,Data Export,Need export in regional time zone.,Closed,2025-03-16,2025-03-29,Data Export
areid@example.com,3070184682,Technical Support,Getting JSON decode error.,Closed,2025-05-28,2025-06-04,Technical Support
davidstephens@example.com,3917521611,Billing Problem,Refund not credited after 7 days.,Closed,2025-04-11,2025-04-22,Bug Report
qfuller@example.com,4905937145,Login Issue,Cannot log in on mobile app.,Closed,2025-07-15,2025-07-17,Bug Report
tchapman@example.com,9995378276,Payment Failure,Need help with failed subscription payment.,Closed,2025-05-29,2025-06-01,Billing Problem
fnielsen@example.org,2206017563,Subscription Cancellation,Want refund for unused days.,Closed,2025-05-27,2025-05-29,Subscription Cancellation
andersontristan@example.com,4538801808,Technical Support,Cannot upload files to cloud.,Closed,2025-02-19,2025-02-20,Technical Support
zsteele@example.com,5610385254,Payment Failure,Payment shows success but app locked.,Closed,2025-04-19,2025-04-20,Billing Problem
kenneth93@example.org,3203920567,Feature Request,Need voice assistant for dashboard.,Closed,2025-05-24,2025-06-06,Feature Request
adam25@example.net,1759888188,Technical Support,Live chat not launching.,Closed,2025-05-29,2025-05-30,Technical Support
orozcobrandon@example.net,1235104093,Feature Request,Requesting PDF report generation.,Closed,2025-04-26,2025-04-29,Feature Request
johnsonnicholas@example.org,4288812024,Account Suspension,Terms of use were unclear.,Closed,2025-02-10,2025-02-13,General
thomas14@example.net,8179811997,Bug Report,Search bar resets randomly.,Closed,2025-04-01,2025-04-13,Bug Report
robinwiggins@example.net,9428958105,Technical Support,Slow performance during peak hours.,Closed,2025-05-28,2025-06-01,Technical Support
fostermegan@example.org,4441447695,Subscription Cancellation,App locked after cancellation.,Closed,2025-03-17,2025-03-19,Subscription Cancellation
woodmichael@example.com,6460794942,Technical Support,Download button is inactive.,Closed,2025-07-03,2025-07-05,Technical Support
rachaelcobb@example.net,9777668613,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-04-23,2025-05-03,UI Feedback
robertsconnie@example.net,1304088049,Billing Problem,Unable to update billing address.,Closed,2025-07-18,2025-07-25,Bug Report
keithcontreras@example.org,4915591174,Bug Report,Back button doesn’t work.,Closed,2025-06-07,2025-06-10,Bug Report
ryanwilcox@example.com,818425068,Bug Report,Dropdown not loading values.,Closed,2025-03-19,2025-03-20,Bug Report
pross@example.net,4162709388,Subscription Cancellation,Wrong account cancelled.,Closed,2025-06-15,2025-06-19,Subscription Cancellation
victorgonzalez@example.org,4779789604,Payment Failure,Payment failed due to card error.,Closed,2025-04-01,2025-04-08,Billing Problem
zallen@example.com,4530781588,Technical Support,Freezing during screen load.,Closed,2025-06-25,2025-06-30,Technical Support
nbeard@example.org,242959217,Feature Request,Multi-user role system would help.,Closed,2025-07-16,2025-07-17,Feature Request
aaron20@example.org,2099154981,Feature Request,Add folder structure to organize data.,Closed,2025-06-05,2025-06-11,Feature Request
david27@example.com,9058805245,UI Feedback,Dark mode missing in login.,Closed,2025-07-19,2025-07-26,UI Feedback
kristen99@example.org,9634484656,Technical Support,Download button is inactive.,Closed,2025-04-07,2025-04-09,Technical Support
hyoung@example.com,2052334703,Payment Failure,Charged twice for one payment.,Opened,2025-07-20,,Billing Problem
brandonrich@example.org,9722727167,Feature Request,Need in-app video tutorials.,Closed,2025-06-24,2025-06-25,Feature Request
kellyblack@example.net,1283541419,Feature Request,Include a mobile-first UI option.,Closed,2025-02-23,2025-02-27,Feature Request
cyoung@example.com,6654327583,Bug Report,Unable to delete old entries.,Closed,2025-06-07,2025-06-08,Bug Report
mcdonaldchelsea@example.net,3184013731,Data Export,Exported PDF looks blank.,Closed,2025-05-26,2025-06-12,Data Export
bryantsydney@example.com,5292505993,UI Feedback,Filter section takes too much space.,Closed,2025-04-06,2025-04-08,UI Feedback
turnerjerome@example.com,8401095516,Feature Request,Need in-app video tutorials.,Closed,2025-04-10,2025-04-11,Feature Request
hobbsbrian@example.com,689770710,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-02-22,2025-02-27,UI Feedback
ogordon@example.net,7530165333,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-04-09,2025-04-14,General
lori61@example.org,5625215460,Technical Support,White screen on startup.,Closed,2025-02-13,2025-02-21,Technical Support
alexandriajohnson@example.org,8172065417,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-02-17,2025-03-02,Bug Report
oburns@example.net,9180520966,Subscription Cancellation,Auto-renew not turned off.,Closed,2025-04-12,2025-04-19,Subscription Cancellation
nmartinez@example.org,2094516406,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-07-24,2025-08-08,UI Feedback
fieldsgeorge@example.org,7586052409,Technical Support,Settings not saving properly.,Closed,2025-02-11,2025-02-17,Technical Support
frangel@example.com,941377753,Bug Report,Tab focus jumps incorrectly.,Closed,2025-03-17,2025-03-23,Bug Report
alexis63@example.net,47574843,Data Export,Time range in export is incorrect.,Closed,2025-07-14,2025-07-17,Data Export
mckenziemichael@example.org,2634161688,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-03-15,2025-03-18,Subscription Cancellation
jenkinsdavid@example.net,2150242565,Billing Problem,Duplicate transaction found.,Closed,2025-04-29,2025-05-10,Bug Report
bmayo@example.net,926809499,Subscription Cancellation,App locked after cancellation.,Closed,2025-06-19,2025-06-20,Subscription Cancellation
wangjames@example.net,7930553343,Bug Report,Color scheme inconsistent.,Closed,2025-02-08,2025-02-10,Bug Report
mkelly@example.net,8686528317,Subscription Cancellation,Still charged after cancellation.,Closed,2025-04-02,2025-04-12,Subscription Cancellation
morgandennis@example.org,6983259347,Billing Problem,Incorrect tax calculations.,Closed,2025-02-16,2025-02-20,Bug Report
jamesjose@example.com,9439242759,Bug Report,Color scheme inconsistent.,Closed,2025-05-27,2025-06-01,Bug Report
barnesbrian@example.com,6930315191,Technical Support,Can’t sync data across devices.,Closed,2025-04-23,2025-04-28,Technical Support
barbaraturner@example.org,8680361202,Technical Support,Notifications are not working.,Closed,2025-04-05,2025-04-09,Technical Support
gibsonsandra@example.com,7766813709,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-05-10,2025-05-18,Subscription Cancellation
jamessmith@example.net,7754111527,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-02-25,2025-03-03,Subscription Cancellation
robertscott@example.com,859123926,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-02-22,2025-03-01,UI Feedback
anitasimpson@example.com,1897579169,Technical Support,Download button is inactive.,Closed,2025-07-21,2025-07-29,Technical Support
marvinsalazar@example.org,7900522187,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2025-02-13,2025-02-16,Subscription Cancellation
bookerphilip@example.net,7305371337,UI Feedback,Dark mode missing in login.,Closed,2025-06-03,2025-06-07,UI Feedback
amber72@example.org,2980576692,Data Export,Need monthly data dump in CSV.,Closed,2025-06-08,2025-06-22,Data Export
sclark@example.net,8362255680,Login Issue,Captcha keeps looping during login.,Closed,2025-05-02,2025-05-05,Bug Report
robert66@example.net,508444117,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-07-12,2025-07-14,Bug Report
mirandahernandez@example.com,1073820068,Data Export,Can’t schedule data export.,Closed,2025-03-05,2025-03-06,Data Export
erinmason@example.net,3020699159,Feature Request,Can you include language translation?,Closed,2025-05-12,2025-05-18,Feature Request
dakotamorris@example.net,504447849,UI Feedback,Filter section takes too much space.,Closed,2025-06-09,2025-06-11,UI Feedback
